,Year and Month,Adj CPI
635,1965-12-01,0.12829460960918557
636,1966-01-01,0.12829460960918557
637,1966-02-01,0.12910149394635026
638,1966-03-01,0.1295049361149326
639,1966-04-01,0.1303118204520973
640,1966-05-01,0.1303118204520973
641,1966-06-01,0.13071526262067965
642,1966-07-01,0.131118704789262
643,1966-08-01,0.13192558912642668
644,1966-09-01,0.13192558912642668
645,1966-10-01,0.13273247346359135
646,1966-11-01,0.13273247346359135
647,1966-12-01,0.13273247346359135
648,1967-01-01,0.13273247346359135
649,1967-02-01,0.13273247346359135
650,1967-03-01,0.13313591563217372
651,1967-04-01,0.13353935780075607
652,1967-05-01,0.13394279996933842
653,1967-06-01,0.13434624213792073
654,1967-07-01,0.13474968430650308
655,1967-08-01,0.13515312647508543
656,1967-09-01,0.13555656864366777
657,1967-10-01,0.13596001081225015
658,1967-11-01,0.13636345298083247
659,1967-12-01,0.1367668951494148
660,1968-01-01,0.1375737794865795
661,1968-02-01,0.13797722165516185
662,1968-03-01,0.13838066382374417
663,1968-04-01,0.13878410599232652
664,1968-05-01,0.1391875481609089
665,1968-06-01,0.13999443249807358
666,1968-07-01,0.14080131683523825
667,1968-08-01,0.1412047590038206
668,1968-09-01,0.14160820117240294
669,1968-10-01,0.14241508550956763
670,1968-11-01,0.14281852767814998
671,1968-12-01,0.14322196984673233
672,1969-01-01,0.14362541201531467
673,1969-02-01,0.14443229635247934
674,1969-03-01,0.1456426228582264
