pop_date,country,population
1944-01-01,wld,2334719398
1945-01-01,wld,2355292551
1946-01-01,wld,2378793750
1947-01-01,wld,2406793627
1948-01-01,wld,2437585102
1949-01-01,wld,2477244597
1950-01-01,wld,2522795097
1951-01-01,wld,2569951208
1952-01-01,wld,2616316758
1953-01-01,wld,2662543504
1954-01-01,wld,2709178365
1955-01-01,wld,2756662517
1956-01-01,wld,2805328910
1957-01-01,wld,2855404933
1958-01-01,wld,2907023467
1959-01-01,wld,2960240049
1960-01-01,wld,3015085838
1961-01-01,wld,3071623124
1962-01-01,wld,3129995156
1963-01-01,wld,3190446183
1964-01-01,wld,3253262811
1965-01-01,wld,3318598296
1966-01-01,wld,3386535759
1967-01-01,wld,3456874782
1968-01-01,wld,3529117645
1969-01-01,wld,3602582433
1970-01-01,wld,3676727865
1971-01-01,wld,3751454788
1972-01-01,wld,3826757615
1973-01-01,wld,3902316828
1974-01-01,wld,3977783768
1975-01-01,wld,4052954392
1976-01-01,wld,4127653812
1977-01-01,wld,4202040817
1978-01-01,wld,4276676636
1979-01-01,wld,4352350393
1980-01-01,wld,4429660149
1981-01-01,wld,4508601232
1982-01-01,wld,4589057229
1983-01-01,wld,4671352595
1984-01-01,wld,4755854655
1985-01-01,wld,4842705541
1986-01-01,wld,4932112905
1987-01-01,wld,5023677382
1988-01-01,wld,5116168638
1989-01-01,wld,5207930480
1990-01-01,wld,5297738844
1991-01-01,wld,5385171977
1992-01-01,wld,5470448447
1993-01-01,wld,5553789455
1994-01-01,wld,5635670131
1995-01-01,wld,5716485992
1996-01-01,wld,5796242146
1997-01-01,wld,5874914801
1998-01-01,wld,5952873494
1999-01-01,wld,6030583814
2000-01-01,wld,6108424718
2001-01-01,wld,6186543057
2002-01-01,wld,6265005402
2003-01-01,wld,6344003287
2004-01-01,wld,6423719971
2005-01-01,wld,6504280993
2006-01-01,wld,6585760192
2007-01-01,wld,6668138074
2008-01-01,wld,6751310827
2009-01-01,wld,6835108522
2010-01-01,wld,6919368228
